link_id, artifact_id, code_path, artifact_content, code_url
"1","DD-768","edu.nd.dronology.core/src/edu/nd/dronology/core/vehicle/commands/CommandIds.java","Each movement command shall specify one of the following command types: {{SET_MONITORING_FREQUENCY  SET_STATE_FREQUENCY}}","https://github.com/SAREC-Lab/Dronology/blob/DATASET_V001/edu.nd.dronology.core/src/edu/nd/dronology/core/vehicle/commands/CommandIds.java"
"1","DD-768","edu.nd.dronology.core/src/edu/nd/dronology/core/vehicle/commands/SetMonitoringFrequencyCommand.java","Each movement command shall specify one of the following command types: {{SET_MONITORING_FREQUENCY  SET_STATE_FREQUENCY}}","https://github.com/SAREC-Lab/Dronology/blob/DATASET_V001/edu.nd.dronology.core/src/edu/nd/dronology/core/vehicle/commands/SetMonitoringFrequencyCommand.java"
"1","DD-768","edu.nd.dronology.core/src/edu/nd/dronology/core/vehicle/commands/SetStateFrequencyCommand.java","Each movement command shall specify one of the following command types: {{SET_MONITORING_FREQUENCY  SET_STATE_FREQUENCY}}","https://github.com/SAREC-Lab/Dronology/blob/DATASET_V001/edu.nd.dronology.core/src/edu/nd/dronology/core/vehicle/commands/SetStateFrequencyCommand.java"
"2","DD-767","edu.nd.dronology.ui.vaadin/src/main/java/edu/nd/dronology/ui/vaadin/flightroutes/FREditModeController.java","The _RouteCreationUI_ shall provide capabilities to modify existing routes.","https://github.com/SAREC-Lab/Dronology/blob/DATASET_V001/edu.nd.dronology.ui.vaadin/src/main/java/edu/nd/dronology/ui/vaadin/flightroutes/FREditModeController.java"
"2","DD-767","edu.nd.dronology.ui.vaadin/src/main/java/edu/nd/dronology/ui/vaadin/flightroutes/FRMapComponent.java","The _RouteCreationUI_ shall provide capabilities to modify existing routes.","https://github.com/SAREC-Lab/Dronology/blob/DATASET_V001/edu.nd.dronology.ui.vaadin/src/main/java/edu/nd/dronology/ui/vaadin/flightroutes/FRMapComponent.java"
"5","DD-764","edu.nd.dronology.services/src/edu/nd/dronology/services/dronesetup/DroneSetupService.java","The _UIMiddleware_ accepts resend waypoint commands associated with a unique {{UAV_ID}} and forwards to Dronology","https://github.com/SAREC-Lab/Dronology/blob/DATASET_V001/edu.nd.dronology.services/src/edu/nd/dronology/services/dronesetup/DroneSetupService.java"
"6","DD-763","edu.nd.dronology.gstation.python.connector/src/edu/nd/dronology/gstation/connector/messages/UAVModeChangeMessage.java","UAV State messages shall be formatted as JSON objects and contain the {{UAV_ID}} and the {{MODE}}","https://github.com/SAREC-Lab/Dronology/blob/DATASET_V001/edu.nd.dronology.gstation.python.connector/src/edu/nd/dronology/gstation/connector/messages/UAVModeChangeMessage.java"
"12","DD-756","python/edu.nd.dronology.gstation1.python/src/control.py","The _GCS_ shall send the UAV's current properties to the _GCSMiddleware_ when they are received from the UAV.","https://github.com/SAREC-Lab/Dronology/blob/DATASET_V001/python/edu.nd.dronology.gstation1.python/src/control.py"
"13","DD-755","python/edu.nd.dronology.gstation1.python/src/communication/message.py","The _GCS_ requests the UAV's properties every {{UAV_MESSAGE_MONITORING_FREQUENCY}} seconds.","https://github.com/SAREC-Lab/Dronology/blob/DATASET_V001/python/edu.nd.dronology.gstation1.python/src/communication/message.py"
"13","DD-755","python/edu.nd.dronology.gstation1.python/src/vehicle/copter.py","The _GCS_ requests the UAV's properties every {{UAV_MESSAGE_MONITORING_FREQUENCY}} seconds.","https://github.com/SAREC-Lab/Dronology/blob/DATASET_V001/python/edu.nd.dronology.gstation1.python/src/vehicle/copter.py"
